feature,tree,knn,gnb,lda
1,74.82,94.02000000000001,68.45,70.52000000000001
2,74.82,94.02000000000001,68.45,70.52000000000001
3,74.82,94.02000000000001,68.45,70.52000000000001
4,74.82,94.02000000000001,68.45,70.52000000000001
5,74.82,94.02000000000001,68.45,70.52000000000001
6,74.82,94.02000000000001,68.45,70.52000000000001
7,74.82,94.02000000000001,68.45,70.52000000000001
8,74.82,94.02000000000001,68.45,70.52000000000001
9,74.82,94.02000000000001,68.45,70.52000000000001
10,74.82,94.02000000000001,68.45,70.52000000000001
11,74.82,94.02000000000001,68.45,70.52000000000001
12,74.82,94.02000000000001,68.45,70.52000000000001
13,74.82,94.02000000000001,68.45,70.52000000000001
14,74.82,94.02000000000001,68.45,70.52000000000001
15,74.82,94.02000000000001,68.45,70.52000000000001
16,74.82,94.02000000000001,68.45,70.52000000000001
