feature,tree,knn,gnb,lda
1,48.34626378113516,48.34626378113516,45.40628828093099,45.44712127398938
2,47.447937933850554,49.32625561453655,44.385463454471214,45.202123315639035
3,49.12209064924459,49.73458554512046,44.71212739893834,45.12045732952225
4,55.16537362188648,50.22458146182115,49.407921600653324,51.735402204981625
5,55.5737035524704,50.67374438546346,50.26541445487954,52.062066149448746
6,54.06288280930992,50.510412413229886,50.79624336463863,52.59289505920785
7,55.24703960800327,50.510412413229886,50.63291139240506,51.61290322580645
8,56.88035933033891,50.510412413229886,50.34708044099633,51.16374030216415
9,54.75704369130258,50.510412413229886,51.204573295222545,52.91955900367496
10,55.532870559412004,50.510412413229886,47.73376888525929,52.87872601061658
11,56.431196406696614,50.510412413229886,47.57043691302572,53.12372396896693
